woops,,,,,,,,,,,,,,,,,,,,,,
Site,Date,Transect,Sample #,# leaves,Leaf Width (cm),Leaf length (cm),Sheath Length (cm),Leaf Mass (g),Internode Length (cm),Aboveground mass (cm),Belowground Mass (g),Aboveground to Belowground Mass (g),WD 1 (%),WD 2 (%),WD 3 (%),WD 4 (%),WD 5 (%),WD 6 (%),WD 7 (%),Average WD (%),Second leaf,leaf area
Annisquam,10/3/2019,B,4,4,0.4,30.7,8.2,0.323,1.2,1.007,0.305,3.301639344,0,0,1,0,N/A,N/A,N/A,0.25,0,12.28
Annisquam,10/3/2019,B,5,4,0.4,51.9,16.2,0.392,0.9,1.633,0.323,5.055727554,0,0,0,0,N/A,N/A,N/A,0.0000001,0,20.76
Annisquam,10/3/2019,B,6,4,0.4,35.7,10.1,0.29,0.9,1.59,0.239,6.652719665,0,0,10,0,N/A,N/A,N/A,2.5,0,14.28
Annisquam,10/3/2019,B,7,6,0.5,39,10.2,0.556,1.1,2.67,0.511,5.225048924,0,0,2,12,20,30,N/A,10.66,0,19.5
Annisquam,10/3/2019,B,8,4,0.4,39.8,11.1,0.313,1.6,1.75,0.365,4.794520548,0,35,3,5,N/A,N/A,N/A,10.75,13.93,15.92
Annisquam,10/3/2019,B,9,4,0.4,51.9,15.2,0.448,0.6,1.867,0.622,3.001607717,0,20,0,25,N/A,N/A,N/A,11.25,10.38,20.76
Annisquam,10/3/2019,B,10,4,0.4,25,8.3,0.209,0.8,0.942,0.2,4.71,0,1,1,1,N/A,N/A,N/A,0.75,0.25,10
Annisquam,10/3/2019,C,1,5,0.4,51.1,19,0.346,1,2.63,0.424,6.202830189,0,0,10,25,40,N/A,N/A,14,0,20.44
Annisquam,10/3/2019,C,2,4,0.4,46.7,16.1,0.191,0.6,1.26,0.15,8.4,0,35,10,5,N/A,N/A,N/A,12.5,16.345,18.68
Annisquam,10/3/2019,C,3,4,0.4,61.4,16.5,0.49,0.7,2.43,0.231,10.51948052,0,3,30,1,N/A,N/A,N/A,8.5,1.842,24.56
Annisquam,10/3/2019,C,4,4,0.4,43.4,15,0.287,0.7,1.73,0.252,6.865079365,0,5,1,5,N/A,N/A,N/A,2.75,2.17,17.36
Annisquam,10/3/2019,C,5,4,0.5,68.5,16.9,0.85,2,4.06,1.08,3.759259259,0,0,25,1,N/A,N/A,N/A,6.5,0,34.25
Annisquam,10/3/2019,C,6,5,0.5,60.4,14.4,0.758,1,2.85,0.46,6.195652174,0,0,20,1,1,N/A,N/A,4.4,0,30.2
Annisquam,10/3/2019,C,7,4,0.4,51.9,17.5,0.45,1,2.74,0.45,6.088888889,0,0,20,5,N/A,N/A,N/A,6.25,0,20.76
Annisquam,10/3/2019,C,8,4,0.5,62.5,16.6,0.72,0.8,3.99,0.7,5.7,0,1,5,7,N/A,N/A,N/A,3.25,0.625,31.25
Annisquam,10/3/2019,C,9,4,0.4,53.3,18.1,0.83,1,2.48,0.32,7.75,0,30,25,15,N/A,N/A,N/A,17.5,15.99,21.32
Annisquam,10/3/2019,C,10,4,0.3,32.9,14.1,0.196,1.1,2,0.233,8.583690987,5,15,1,0,N/A,N/A,N/A,5.25,4.935,9.87
Essex Bay,10/8/2019,EB,1,4,0.3,20.1,6,0.094,1,0.495,0.605,0.818181818,1,5,1,30,N/A,N/A,N/A,9.25,1.005,6.03
Essex Bay,10/8/2019,EB,2,6,0.3,29.5,8.5,0.24,1.5,1.201,0.665,1.806015038,0,0,0,0,0,5,30,5,0,8.85
Essex Bay,10/8/2019,EB,3,4,0.3,29.5,15.2,0.198,2.3,1.022,0.387,2.640826873,30,0,20,0,N/A,N/A,N/A,12.5,0,8.85
Essex Bay,10/8/2019,EB,4,7,0.3,26.3,5.7,0.17,1.7,1.207,0.387,3.118863049,0,0,0,10,0,2,20,4.57,0,7.89
Essex Bay,10/8/2019,EB,5,4,0.3,27.1,2.9,0.161,1.1,0.865,0.292,2.962328767,0,0,0,0,N/A,N/A,N/A,0,0,8.13
Essex Bay,10/8/2019,EB,6,5,0.3,30,9.5,0.246,2.1,1.32,0.539,2.448979592,0,0,0,0,20,N/A,N/A,4,0,9
Essex Bay,10/8/2019,EB,7,4,0.3,27.4,7.3,0.202,2.5,1.114,0.807,1.380421314,0,0,0,0,N/A,N/A,N/A,0,0,8.22
Essex Bay,10/8/2019,EB,8,7,0.4,34.5,10.3,0.233,1.7,1.502,0.502,2.992031873,0,0,10,0,1,0,0,1.57,0,13.8
Essex Bay,10/8/2019,EB,9,4,0.4,34.5,10.7,0.31,1.8,1.453,0.643,2.259720062,0,0,1,30,N/A,N/A,N/A,7.75,0,13.8
Essex Bay,10/8/2019,EB,10,7,0.3,33.9,8.7,0.265,1.4,1.42,0.493,2.880324544,0,0,1,0,0,1,20,3.14,0,10.17
